1.  Age  ,2.  Gender  ,3.  Weight (in kg)  ,4.  Height (in cm)  ,5.  Activity Level  ,6. Average Sleep (hours per day)  ,7.  How often do you eat junk food?  ,  8. Food Preference  ,9. Meals per day  ,  10. What is your goal?  ,  11. Which diet do you think suits you best?  ,
18,Male,94,173,Low ,7,Rarely,Vegetarian,3,Weight Loss,Low Carb Diet,
17,Male,88,170,Medium ,8,Rarely,Non-Vegetarian,3,Weight Loss,Low Carb Diet,
23,Female,79,164,Medium ,7,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
20,Male,65,170,Medium,7,Sometimes,Vegetarian,4,Weight Gain,High Protein Diet,
22,Female,55,160,Low,6,Frequently,Vegetarian,2,Weight Loss,Low Carb Diet,
25,Male,75,175,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
19,Female,50,158,Low,6,Sometimes,Vegetarian,2,Weight Loss,Low Carb Diet,
30,Male,85,180,Medium,7,Frequently,Non-Vegetarian,3,Weight Loss,Low Carb Diet,
27,Female,60,165,High,8,Rarely,Vegetarian,3,Maintain Health,Balanced Diet,
21,Male,68,172,Medium,7,Sometimes,Non-Vegetarian,4,Weight Gain,High Protein Diet,
23,Female,58,162,Low,6,Frequently,Vegetarian,2,Weight Loss,Low Carb Diet,
28,Male,78,176,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
24,Female,62,168,Medium,7,Sometimes,Vegetarian,4,Weight Gain,High Protein Diet,
26,Male,82,178,Low,6,Frequently,Non-Vegetarian,3,Weight Loss,Low Carb Diet,
29,Female,64,170,High,8,Rarely,Vegetarian,3,Maintain Health,Balanced Diet,
18,Male,60,168,Medium,7,Sometimes,Vegetarian,4,Weight Gain,High Protein Diet,
31,Female,70,172,Low,6,Frequently,Non-Vegetarian,2,Weight Loss,Low Carb Diet,
22,Male,72,174,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
20,Female,54,160,Medium,7,Sometimes,Vegetarian,2,Weight Loss,Low Carb Diet,
27,Male,76,177,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
25,Female,59,163,Low,6,Frequently,Vegetarian,2,Weight Loss,Low Carb Diet,
23,Male,70,175,Medium,7,Sometimes,Non-Vegetarian,4,Weight Gain,High Protein Diet,
28,Female,65,169,High,8,Rarely,Vegetarian,3,Maintain Health,Balanced Diet,
24,Male,80,180,Low,6,Frequently,Non-Vegetarian,3,Weight Loss,Low Carb Diet,
26,Female,57,162,Medium,7,Sometimes,Vegetarian,4,Weight Gain,High Protein Diet,
21,Male,66,170,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
22,Female,52,158,Low,6,Frequently,Vegetarian,2,Weight Loss,Low Carb Diet,
30,Male,88,182,Medium,7,Sometimes,Non-Vegetarian,3,Weight Loss,Low Carb Diet,
27,Female,61,165,High,8,Rarely,Vegetarian,3,Maintain Health,Balanced Diet,
19,Male,64,169,Medium,7,Sometimes,Vegetarian,4,Weight Gain,High Protein Diet,
31,Female,68,171,Low,6,Frequently,Non-Vegetarian,2,Weight Loss,Low Carb Diet,
23,Male,74,176,High,8,Rarely,Non-Vegetarian,3,Maintain Health,Balanced Diet,
25,Female,56,160,Medium,7,Sometimes,Vegetarian,2,Weight Loss,Low Carb Diet,
